,FID,id,exclude,type,query,constraint,text,query_resu,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4,pitch,district_1,district,node,landmark,path,edge,label_vector
0,-1,3341809309,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,344.1686078,"560 Boylston, Boston, MA 02116, USA",42.3503881,-71.07624052, ,0,0, , , , , , , , , ,11.43770659,7,1,1,1,1,0,11110
1,-1,3341809381,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,336.3503208,"560 Boylston, Boston, MA 02116, USA",42.3503881,-71.07624052, ,0,0, , , , , , , , , ,22.88088639,7,1,1,1,1,0,11110
2,-1,3341809503,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,335.8700398,"Copley Square, Boston, MA 02116, USA",42.35043504,-71.07606593, ,0,0, , , , , , , , , ,21.31043221,7,1,1,1,1,0,11110
3,-1,3341809855,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,338.4270605,"Copley Square, Boston, MA 02116, USA",42.35051746,-71.07577336, ,0,0, , , , , , , , , ,25.83673264,5,1,1,1,1,0,11110
4,-1,3341810009,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,338.4270605,"560 Boylston, Boston, MA 02116, USA",42.35053299,-71.07571675, ,0,0, , , , , , , , , ,25.83673264,4,1,1,1,1,0,11110
5,-1,3341810139,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,338.4270605,"560 Boylston, Boston, MA 02116, USA",42.35020266,-71.07690158, ,0,0, , , , , , , , , ,25.83673264,3,1,1,1,1,0,11110
6,-1,3341810417,0,frog,Boston Public Library Copley Square,Boston,Copley Square,1,149.7053635,"700 Boylston St, Boston, MA 02116, USA",42.34994987,-71.07782501, ,0,0, , , , , , , , , ,27.57822191,1,1,1,1,1,0,11110
7,-1,3341810517,0,frog,Boston Public Library Copley Square,Boston,Copley Square,1,251.9978684,"Copley Square, Boston, MA 02116, USA",42.3494976,-71.07704963, ,0,0, , , , , , , , , ,25.26194913,0,0,1,0,1,0,01010
8,-1,3341810605,0,frog,Boston Public Library Copley Square,Boston,Copley Square,1,273.4453957,"700 Boylston St, Boston, MA 02116, USA",42.34941337,-71.07700782, ,0,0, , , , , , , , , ,19.65502359,0,0,1,0,1,0,01010
9,-1,3341810877,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,347.8958812,"560 Boylston, Boston, MA 02116, USA",42.35032584,-71.07646708, ,0,0, , , , , , , , , ,27.97597892,6,1,1,1,1,0,11110
10,-1,3342643546,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,339.9780227,"560 Boylston, Boston, MA 02116, USA",42.35012327,-71.07718568, ,0,0, , , , , , , , , ,28.2649083,2,1,1,1,1,0,11110
11,-1,3342643624,0,frog,"Copley Square, Boylston Street",Boston,Copley Square,1,339.9780227,"560 Boylston, Boston, MA 02116, USA",42.3502363,-71.07678556, ,0,0, , , , , , , , , ,28.2649083,4,1,1,1,1,0,11110
